,행정동,LA,LO,아파트,count_cust,age_avg,완속최소설치개수,완속설치개수,부족개수,매매(억),세대수,총주차대수
0,포곡읍,37.26715561,127.2175833,신원2차아파트,599.384,9.649708988,4.0,0,4.0,3.0,296.0,296
1,포곡읍,37.270094,127.2123109,인정멜로디아파트,2412.584,8.585178093,15.0,0,15.0,2.3,831.0,824
2,포곡읍,37.26688749,127.2162226,금전마을계룡리슈빌,527.95,6.175949591,8.0,2,6.0,4.3,441.0,485
3,포곡읍,37.27363395,127.2211706,용인포곡삼성쉐르빌아파트,620.068,8.348546504,12.0,6,6.0,4.8,469.0,671
4,포곡읍,37.27220227,127.2102969,배머루마을 인정베네치아빌리지,170.366,8.569378948,7.0,0,7.0,3.47,347.0,422
5,포곡읍,37.29443226,127.238048,계수마을수목원우림필유,278.906,8.399673117,6.0,3,3.0,3.5,346.0,387
6,모현읍,37.33229742,127.2499251,풍산햇빛마을,536.502,9.352098047,5.0,0,5.0,3.2,330.0,330
7,이동읍,37.19219988,127.2043807,샘골마을풍성신미주아파트1단지,4476.335,8.222607583,15.0,5,10.0,3.2,800.0,804
8,이동읍,37.18915467,127.2051336,샘골마을풍성신미주아파트2단지,173.173,9.046024833,3.0,0,3.0,2.55,234.0,241
9,이동읍,37.20037134,127.2076064,한천마을 금광베네스타아파트,990.043,8.992959305,9.0,1,8.0,3.0,460.0,502
10,이동읍,37.20155084,127.2074871,에이스카운티아파트,2067.439,8.266752018,8.0,2,6.0,3.35,430.0,478
11,이동읍,37.13801446,127.2012178,송전마을 세광엔리치타워,214.485,8.400112391,18.0,10,8.0,3.0,782.0,997
12,양지면,37.23506236,127.2852413,양지마을 신원아침도시,72.338,8.182793306,2.0,0,2.0,3.5,156.0,160
13,중앙동,37.23511025,127.2011072,유메이드,46.407,4.745684918,1.0,0,1.0,8.5,299.0,149
14,중앙동,37.23392548,127.1982112,스위트홈아파트,964.936,8.743359258,1.0,0,1.0,1.85,168.0,134
15,중앙동,37.23329382,127.1975842,삼환아파트,59.371,5.314734581,2.0,0,2.0,3.8,180.0,180
16,중앙동,37.23232405,127.1975806,신우아파트,279.226,11.02543369,4.0,0,4.0,3.57,176.0,258
17,중앙동,37.23634795,127.1968012,김량장동 어울림아파트,990.678,9.639795473,10.0,7,3.0,4.1,484.0,554
18,중앙동,37.23465148,127.207236,용인웰메이드시티337,236.256,5.132110931,1.0,2,0.0,1.1,299.0,81
19,역삼동,37.24603031,127.1670833,풍림아파트,2221.337,10.0632658,6.0,2,4.0,3.0,377.0,399
20,역삼동,37.23907645,127.1716005,삼현마을진우아파트,1938.171,8.001478593,10.0,4,6.0,2.82,582.0,553
21,역삼동,37.24086864,127.1732889,금령마을우남퍼스트빌,4575.107,10.42806049,10.0,7,3.0,4.3,451.0,550
22,역삼동,37.23849446,127.1654565,용인 행정타운 두산위브 1단지,683.186,9.053006559,5.0,3,2.0,5.5,199.0,334
23,역삼동,37.23963733,127.1676868,용인 행정타운 두산위브 2단지,1134.71,8.685142438,15.0,8,7.0,5.1,624.0,844
24,역삼동,37.23928472,127.1699559,용인 행정타운 두산위브 3단지,1083.112,8.110973343,13.0,0,13.0,5.2,470.0,709
25,유림동,37.26384052,127.2168368,인정프린스아파트3차,100.182,8.645315526,2.0,0,2.0,2.35,380.0,171
26,유림동,37.2671558,127.2069263,성웅아파트,843.876,6.863834572,4.0,0,4.0,2.2,271.0,252
27,유림동,37.26541729,127.2261162,금평마을영화아파트,3953.09,9.900541206,9.0,4,5.0,3.2,428.0,536
28,유림동,37.26530998,127.2225884,보평마을삼정그린뷰아파트,1567.4,10.02786049,7.0,0,7.0,3.2,360.0,434
29,유림동,37.25813492,127.2369067,예원마을코아루아파트,2042.293,8.39757699,8.0,3,5.0,2.85,408.0,493
30,유림동,37.24891054,127.2206437,양우내안애에듀퍼스트,1541.568,6.55802496,23.0,10,13.0,5.0,1098.0,1217
31,유림동,37.24613711,127.2309453,인정피렌체빌리지1차아파트,4397.301,7.399591071,11.0,0,11.0,2.6,639.0,649
32,유림동,37.25263893,127.2272704,이삭아파트,917.901,8.940952601,5.0,0,5.0,2.8,300.0,317
33,유림동,37.24711555,127.2291603,예진마을인정피렌체빌리지II아파트,1646.698,7.023983653,9.0,0,9.0,3.47,416.0,515
34,유림동,37.25335971,127.2264201,임원마을아이닉스영화아파트,1140.477,7.09101789,11.0,6,5.0,3.5,513.0,648
35,유림동,37.24447282,127.2310889,인정피렌체빌리지3차아파트,3276.761,8.738560524,11.0,13,0.0,2.8,516.0,638
36,동부동,37.23195645,127.2142131,라이프아파트 101동,27.952,5.401831712,3.0,4,0.0,3.0,290.0,217
37,동부동,37.23491004,127.2150075,마평우성아파트,970.186,8.02017565,5.0,2,3.0,3.5,358.0,324
38,동부동,37.23540782,127.2166144,두보아파트,252.788,7.793318558,4.0,2,2.0,2.6,248.0,254
39,동부동,37.23565859,127.2146897,마평주공1단지아파트,523.817,8.491060705,9.0,0,9.0,3.5,639.0,518
40,동부동,37.23430752,127.2184012,용인GS자이아파트,3301.247,7.123924291,10.0,11,0.0,4.28,502.0,567
41,구갈동,37.27854164,127.11476,한성아파트,1468.649,8.368042913,8.0,0,8.0,6.7,570.0,450
42,구갈동,37.27674569,127.1148392,기흥동부아파트,300.083,9.482300286,2.0,1,1.0,8.15,200.0,185
43,구갈동,37.27618449,127.1131112,한성2차아파트,1296.026,7.276280475,1.0,0,1.0,6.1,384.0,126
44,구갈동,37.27883305,127.1125026,기흥구갈한양수자인아파트,1325.587,7.930220009,10.0,0,10.0,6.9,624.0,591
45,구갈동,37.27628417,127.1115362,기흥우림아파트,333.767,9.313175873,1.0,0,1.0,5.3,150.0,106
46,구갈동,37.27066615,127.1320195,강남마을자연&아이원4단지아파트,1596.819,8.508629675,21.0,9,12.0,6.5,781.0,1101
47,구갈동,37.26945603,127.1335609,계룡리슈빌7단지아파트,2035.344,8.162422574,10.0,5,5.0,5.45,528.0,555
48,구갈동,37.27358193,127.114719,기흥역지웰푸르지오,2819.35,9.120168178,11.0,17,0.0,6.8,561.0,640
49,구갈동,37.27461282,127.1149482,기흥역롯데캐슬레이시티,321.572,8.45314948,5.0,6,0.0,8.7,260.0,310
50,구갈동,37.27853654,127.1181175,세종그랑시아2차아파트,872.397,7.700973642,3.0,0,3.0,7.05,194.0,236
51,보라동,37.25470172,127.1124531,삼정선비마을아파트,192.552,7.934121097,3.0,4,0.0,4.8,299.0,243
52,보라동,37.25189545,127.1061301,보라삼성래미안아파트,731.36,7.536840285,6.0,4,2.0,4.6,370.0,373
53,보라동,37.25320042,127.1170272,쌍용스윗닷홀아파트,7872.539,8.744379341,54.0,0,54.0,5.8,1596.0,2776
54,보라동,37.25231102,127.1224538,민속마을신창미션힐아파트,4091.433,8.443542547,29.0,31,0.0,5.6,926.0,1534
55,보라동,37.25282056,127.1065671,보라마을 현대모닝사이드2차아파트,1412.1,9.124227756,23.0,8,15.0,5.5,771.0,1234
56,보라동,37.25069589,127.1196293,민속마을 현대모닝사이드아파트,5671.259,8.890919247,34.0,5,29.0,5.1,1112.0,1770
57,보라동,37.25037075,127.1114497,한보라마을 휴먼시아4단지아파트,2544.85,6.7914329,9.0,5,4.0,5.0,581.0,530
58,보라동,37.24904268,127.1098714,한보라에듀포레아파트,1865.876,8.083525777,8.0,0,8.0,5.0,446.0,497
59,보라동,37.2477445,127.1070931,한보라 THE HILL 아파트,3905.791,8.337232416,15.0,27,0.0,5.0,762.0,837
60,보라동,37.24853782,127.1123188,한보라마을 파크드림아파트,2552.434,8.529268392,11.0,1,10.0,6.2,311.0,614
61,보라동,37.2540481,127.1148732,보라해링턴플레이스,2743.674,7.767650747,21.0,0,21.0,6.45,970.0,1119
62,보라동,37.25123949,127.1354151,써니밸리아파트,5326.397,8.873699688,26.0,1,25.0,3.9,1092.0,1371
63,기흥동,37.24031323,127.1034212,호수청구아파트,2183.625,9.30625349,6.0,3,3.0,3.3,498.0,364
64,기흥동,37.23220248,127.1174446,용인기흥벽산블루밍아파트,669.437,9.396618894,8.0,10,0.0,2.8,390.0,480
65,기흥동,37.24520528,127.1080725,한보라마을휴먼시아7단지아파트,1079.13,9.575204385,14.0,0,14.0,5.0,851.0,771
66,기흥동,37.24299402,127.1085725,한보라마을경남아너스빌,1151.589,7.654028337,9.0,7,2.0,4.35,600.0,542
67,기흥동,37.2346282,127.1035773,공세성원상떼레이크뷰아파트,723.999,7.428683672,19.0,0,19.0,10.0,345.0,1035
68,기흥동,37.24022752,127.1086946,탑실마을 대주피오레1단지아파트,458.723,8.901732856,27.0,30,0.0,7.0,710.0,1432
69,기흥동,37.2433855,127.1213061,탑실마을 대주피오레2단지아파트,3877.185,8.918108187,57.0,40,17.0,7.0,1290.0,2926
70,기흥동,37.23091807,127.112169,기흥고매동성아파트,136.292,10.30754305,3.0,1,2.0,2.7,216.0,217
71,기흥동,37.23108428,127.1097275,세원아파트,75.09,12.82990957,5.0,0,5.0,2.9,320.0,308
72,기흥동,37.22988119,127.1117292,매화마을 우남퍼스트빌아파트,126.291,8.786779486,2.0,0,2.0,4.0,166.0,171
73,기흥동,37.22827253,127.1147781,매화마을 우림홀인원아파트,1668.76,10.0283054,6.0,5,1.0,3.8,299.0,361
74,기흥동,37.23088868,127.1110901,기흥써니밸리아파트,61.074,7.561474719,2.0,1,1.0,4.3,171.0,193
75,기흥동,37.24560085,127.1111264,화성파크드림프라브타운하우스,540.671,5.443949857,5.0,0,5.0,5.2,261.0,320
76,서농동,37.24426814,127.0716462,서그내마을에스케이아파트,2941.069,9.562562891,19.0,5,14.0,5.7,807.0,1048
77,서농동,37.24609104,127.0724005,서그내마을 서천아이파크아파트,547.229,7.835722445,7.0,4,3.0,8.6,243.0,441
78,서농동,37.23776428,127.0749793,힐스테이트 서천,769.838,7.840813345,17.0,4,13.0,8.2,754.0,912
79,서농동,37.23571966,127.0745893,서천마을 쌍용예가4단지아파트,1767.618,7.052177947,10.0,1,9.0,6.5,556.0,599
80,서농동,37.24565243,127.070285,영통로 효성해링턴플레이스,230.995,7.481297187,13.0,7,6.0,5.75,640.0,701
81,서농동,37.24450364,127.0748204,용인서천 효성해링턴플레이스,983.316,7.593198687,9.0,0,9.0,7.0,458.0,541
82,서농동,37.24129823,127.0680011,예현마을 현대홈타운아파트,2395.816,11.1228214,17.0,2,15.0,6.5,622.0,910
83,서농동,37.23933998,127.0720884,서천 센트럴파크원,1949.487,7.112817121,16.0,5,11.0,6.5,826.0,880
84,구성동,37.29333856,127.1229097,하마비마을 언남동부아파트,2796.332,9.962779748,8.0,0,8.0,5.75,446.0,464
85,구성동,37.29494871,127.1244802,하마비마을 동일하이빌1차아파트,3730.917,9.183752138,32.0,34,0.0,6.6,999.0,1654
86,구성동,37.29069712,127.1303366,언동마을 신일아파트,2640.902,7.020345876,13.0,0,13.0,4.9,591.0,713
87,구성동,37.29491177,127.1216179,하마비마을 동부센트레빌아파트,2415.562,8.984213167,12.0,0,12.0,7.0,418.0,688
88,구성동,37.29469684,127.1263214,하마비마을 동일하이빌2차아파트,3405.271,8.591972423,28.0,4,24.0,6.8,837.0,1495
89,구성동,37.2892653,127.1228513,초원마을 성원상떼빌2차아파트,2806.416,9.163307428,25.0,12,13.0,6.5,860.0,1303
90,구성동,37.30005775,127.1501548,휴먼시아 물푸레마을 3단지 아파트,2982.703,7.952418192,20.0,5,15.0,5.5,988.0,1075
91,구성동,37.29784484,127.1533722,물푸레마을4단지 경남아너스빌아파트,406.885,8.627292311,7.0,3,4.0,6.07,240.0,431
92,구성동,37.2958563,127.1534543,물푸레마을 구성더포레스트6단지 아파트,2257.559,7.186424285,7.0,0,7.0,5.5,367.0,403
93,구성동,37.292805,127.1517555,물푸레마을 휴먼시아7단지아파트,2777.922,7.735040754,7.0,8,0.0,5.25,398.0,436
94,구성동,37.29337255,127.1539603,물푸레마을 호반베르디움8단지아파트,1659.805,9.687948704,9.0,0,9.0,7.25,308.0,544
95,마북동,37.30581844,127.1266276,교동마을 신창아파트,1832.863,9.306326838,4.0,1,3.0,4.3,490.0,297
96,마북동,37.30209125,127.1249626,교동마을 정광아파트,2296.485,8.055185465,8.0,0,8.0,5.2,478.0,490
97,마북동,37.29626142,127.1133721,구성우림아파트,1817.032,10.04095333,5.0,0,5.0,7.0,362.0,320
98,마북동,37.30101186,127.1106408,블루밍구성더센트럴,7287.201,9.410100819,39.0,2,37.0,9.0,1576.0,2018
99,마북동,37.3016133,127.1078628,연원마을 엘지자이아파트,1033.186,8.982501605,9.0,3,6.0,10.2,396.0,526
100,마북동,37.30434276,127.1258629,교동마을 엘지자이아파트,1814.753,7.912419219,10.0,12,0.0,5.6,450.0,583
101,마북동,37.30322378,127.127386,교동마을 쌍용아파트,2139.582,10.24977014,12.0,2,10.0,6.8,340.0,654
102,마북동,37.29905934,127.1113447,구성삼성래미안1차아파트,4738.634,9.110383774,41.0,15,26.0,13.5,1282.0,2135
103,마북동,37.30059711,127.1247144,교동마을 현대홈타운아파트,4995.238,9.942993948,29.0,5,24.0,6.9,795.0,1503
104,마북동,37.30663751,127.1288718,교동마을 마북e편한세상1차아파트,660.403,11.10708974,10.0,2,8.0,6.7,404.0,584
105,마북동,37.30251261,127.1190371,교동마을 구성자이3차아파트,2237.917,9.899736938,8.0,8,0.0,7.0,309.0,478
106,마북동,37.30221294,127.1235664,구성파라곤아파트,1108.975,11.26657698,8.0,5,3.0,8.4,278.0,498
107,마북동,37.29698128,127.1169664,구성역 효성해링턴플레이스,491.432,8.473092472,5.0,2,3.0,6.9,296.0,303
108,마북동,37.30957372,127.1302486,용인 마북 신원아침도시 아파트,388.32,12.94483931,2.0,0,2.0,6.5,180.0,186
109,구성동,37.2876814,127.1452301,청덕마을 광도와이드빌아파트,2480.416,9.62458363,10.0,3,7.0,3.9,476.0,575
110,동백3동,37.28042656,127.1509988,해든마을 동문굿모닝힐아파트,701.024,6.885352373,11.0,13,0.0,5.8,512.0,619
111,동백3동,37.28311846,127.1447987,신동백 롯데캐슬에코1단지아파트,4971.177,8.06083412,54.0,134,0.0,9.0,1902.0,2769
112,동백3동,37.28541611,127.1465461,하우스디동백카바나아파트,178.821,8.760442006,5.0,8,0.0,5.7,284.0,313
113,동백3동,37.28084251,127.1469531,신동백 서해그랑블1단지아파트,355.706,7.364797888,6.0,2,4.0,6.0,236.0,365
114,동백3동,37.27873271,127.1479837,신동백 서해그랑블2단지아파트,5253.336,8.093388247,21.0,5,16.0,6.8,817.0,1112
115,동백3동,37.27757156,127.1440621,신동백동도센트리움아파트,381.0,8.085556929,2.0,0,2.0,1.95,254.0,181
116,동백3동,37.27929343,127.1450849,어정마을 서희삼정그린뷰아파트,1616.511,8.386838381,8.0,10,0.0,4.5,390.0,476
117,풍덕천2동,37.31946303,127.1002804,진산마을삼성래미안6차아파트,819.03,8.380927342,13.0,7,6.0,14.5,343.0,729
118,마북동,37.302757,127.1122728,연원마을현대아이파크아파트,2345.062,8.718718077,14.0,4,10.0,12.3,424.0,765
119,보정동,37.31142924,127.1124968,행원마을동아솔레시티아파트,3395.041,9.720799937,74.0,3,71.0,11.5,1701.0,3777
120,보정동,37.30950754,127.0970343,솔뫼마을현대홈타운,2352.883,9.346197761,14.0,16,0.0,11.0,382.0,753
121,보정동,37.30507456,127.1079816,연원마을삼성명가타운아파트,1264.2,7.207498971,9.0,5,4.0,8.7,424.0,516
122,보정동,37.31647304,127.116377,죽현마을 엘지자이,2211.91,8.027422263,10.0,3,7.0,15.0,238.0,553
123,보정동,37.31781788,127.1136442,죽현마을 아이파크,5983.059,8.445028887,30.0,10,20.0,8.5,1466.0,1550
124,보정동,37.31837095,127.1103528,죽현마을동원로얄듀크아파트,800.433,9.444836641,17.0,26,0.0,10.4,706.0,927
125,보정동,37.31169822,127.1104918,신촌마을 포스홈타운1단지,1372.038,8.143226713,32.0,10,22.0,11.4,884.0,1654
126,보정동,37.31292486,127.1106373,신촌마을 상록데시앙,1584.818,10.26777344,4.0,3,1.0,8.0,230.0,262
127,보정동,37.30849928,127.1062854,죽전자이2차,1293.357,11.09065169,7.0,0,7.0,7.6,275.0,435
128,보정동,37.30874059,127.1090797,신촌마을 포스홈타운2단지,1443.485,8.372439221,15.0,0,15.0,11.8,423.0,806
129,보정동,37.3065478,127.1074775,꿈에그린아파트,926.894,10.42469534,10.0,1,9.0,11.0,379.0,580
130,보정동,37.32160571,127.1014257,죽전역샬레파인비스타,16.65,6.976816817,2.0,3,0.0,7.9,155.0,187
131,보정동,37.30396876,127.1096751,연원마을성원상떼빌아파트,3436.673,9.469728176,21.0,17,4.0,7.6,691.0,1123
132,상하동,37.26311322,127.14125,대우아파트,1866.479,9.017852827,5.0,0,5.0,3.6,432.0,325
133,상하동,37.27264727,127.1400193,풍림아파트,4326.603,9.013890422,8.0,0,8.0,4.0,469.0,469
134,상하동,37.2571156,127.1384365,상하동 621,5543.792,10.14115376,36.0,10,26.0,4.3,1342.0,1883
135,상하동,37.27519324,127.1377912,강남마을한라비발디아파트,5333.065,8.08401789,19.0,10,9.0,5.1,890.0,1040
136,상하동,37.27120855,127.1357166,강남마을주공8단지아파트,5466.695,10.27748429,18.0,0,18.0,6.2,1176.0,971
137,상하동,37.25606961,127.1409283,수원동마을쌍용스윗닷홈아파트,1916.914,8.228475242,11.0,0,11.0,4.5,465.0,620
138,상하동,37.27100601,127.1393678,갈천마을신일유토빌아파트,1375.723,8.152993919,13.0,10,3.0,5.8,510.0,738
139,상하동,37.26845597,127.1363559,지석마을 그대가 크레던스,3360.628,8.283195883,19.0,0,19.0,7.3,554.0,1011
140,신갈동,37.27839828,127.1064543,삼익아파트,2135.45,8.785951775,3.0,5,0.0,4.4,296.0,228
141,신갈동,37.27839419,127.1071759,신미주아파트,1705.522,9.477473418,1.0,0,1.0,3.25,247.0,149
142,신갈동,37.28683079,127.1084304,신갈현대아파트,1006.377,10.46321232,3.0,3,0.0,4.7,293.0,215
143,신갈동,37.2858082,127.1098839,도현마을현대아이파크아파트,1867.91,8.22379543,16.0,10,6.0,8.2,568.0,878
144,신갈동,37.28688665,127.1116292,새릉골풍림아파트,1022.383,7.234639525,5.0,4,1.0,7.8,340.0,341
145,신갈동,37.27604225,127.1064676,원대마을한신아파트,931.388,6.740501349,8.0,0,8.0,5.5,367.0,483
146,신갈동,37.27232062,127.1085029,기흥역롯데캐슬스카이,1631.269,8.69796034,14.0,16,0.0,7.1,625.0,797
147,신갈동,37.27143713,127.1089533,이안 두드림기흥역,36.811,8.493683953,3.0,0,3.0,5.2,297.0,235
148,신갈동,37.28991396,127.110533,녹원마을새천년그린빌1단지아파트,2274.422,8.390049998,7.0,0,7.0,5.5,414.0,430
149,신갈동,37.28992356,127.112046,녹원마을새천년그린빌2단지아파트,744.514,9.342889925,3.0,0,3.0,6.1,238.0,242
150,신갈동,37.28994969,127.1179176,산양마을대우푸르지오,687.762,7.84855083,11.0,18,0.0,8.5,346.0,605
151,신갈동,37.27647815,127.1002179,용인기흥우방아이유쉘,245.105,7.707154235,7.0,0,7.0,4.7,400.0,434
152,신갈동,37.27202292,127.1016652,신흥덕롯데캐슬레이시티,3761.909,7.927144397,35.0,33,2.0,5.8,1597.0,1804
153,신갈동,37.2841082,127.1069367,양현마을풍림신안아파트,1878.878,9.000310458,14.0,4,10.0,5.6,776.0,788
154,신갈동,37.2879388,127.119063,기흥파크뷰,1716.57,7.858006651,17.0,9,8.0,6.45,915.0,944
155,영덕2동,37.25496388,127.0886321,청명호수마을 신안인스빌1단지,2780.991,9.912652851,29.0,4,25.0,4.7,1003.0,1536
156,영덕2동,37.26874237,127.0961551,두진아파트,5088.473,10.08442315,6.0,4,2.0,4.5,541.0,376
157,영덕2동,37.26546083,127.0925142,청현마을대명레이크빌,1586.676,7.360161022,7.0,5,2.0,4.8,401.0,411
158,영덕2동,37.26573287,127.0940498,청현마을태영데시앙아파트,1283.162,10.93724942,7.0,8,0.0,5.0,400.0,405
159,풍덕천1동,37.3236075,127.1007848,수지 푸르지오 월드마크,2300.968,9.127657577,4.0,0,4.0,8.52,198.0,258
160,풍덕천1동,37.32913806,127.10018,래미안수지이스트파크,6245.528,8.269249637,20.0,4,16.0,11.25,845.0,1074
161,풍덕천1동,37.32716143,127.0985056,수지파크푸르지오,503.86,8.744187432,9.0,6,3.0,9.1,430.0,548
162,풍덕천1동,37.33085174,127.0940474,수지4차삼성아파트,5205.99,8.028417952,13.0,0,13.0,6.2,1137.0,710
163,풍덕천1동,37.3288804,127.091135,동문아파트,1918.9,5.583254056,6.0,0,6.0,7.8,368.0,379
164,풍덕천1동,37.32795006,127.0927901,1지구동부아파트,1268.078,8.640496388,7.0,0,7.0,6.8,612.0,442
165,풍덕천1동,37.32647132,127.0907942,토월마을보원아파트,3746.651,8.563040052,7.0,4,3.0,6.4,619.0,440
166,풍덕천1동,37.32625228,127.0886337,삼성래미안1차아파트,2331.784,9.66628304,12.0,6,6.0,9.8,576.0,688
167,풍덕천1동,37.32674241,127.0863623,건영아파트,813.732,7.98303134,2.0,0,2.0,8.0,190.0,195
168,풍덕천1동,37.32486008,127.0927806,한성아파트,3593.204,7.335792965,6.0,0,6.0,7.8,774.0,356
169,풍덕천1동,37.32628323,127.0944788,현대아파트,7888.036,8.386994011,16.0,0,16.0,8.5,1168.0,871
170,풍덕천1동,37.32553817,127.0980102,동보아파트,2355.288,7.933101871,10.0,0,10.0,9.25,470.0,587
171,풍덕천1동,37.32407376,127.1018294,풍덕천한샘더랜드마크,392.711,6.032405509,3.0,3,0.0,1.7,220.0,244
172,풍덕천1동,37.33151741,127.0962524,동아.삼익.풍림아파트,3212.233,8.540103705,14.0,0,14.0,6.0,1620.0,761
173,풍덕천1동,37.32725136,127.0913237,수지2차 삼성래미안,623.931,7.994645348,5.0,3,2.0,6.7,420.0,300
174,풍덕천2동,37.32262408,127.0885396,신정마을극동임광아파트,458.409,7.688438808,13.0,4,9.0,11.5,424.0,721
175,풍덕천2동,37.32003433,127.0859658,우성아파트,2380.542,7.118128127,8.0,0,8.0,8.45,443.0,482
176,풍덕천2동,37.31901792,127.0851567,진흥아파트,2656.636,8.335381984,7.0,0,7.0,7.8,414.0,448
177,풍덕천2동,37.32096536,127.0899669,신정마을상록아파트,1965.162,7.86242259,11.0,0,11.0,7.3,670.0,632
178,풍덕천2동,37.32197124,127.09175,용인수지 신정마을1단지,4196.548,7.263820655,19.0,0,19.0,7.5,1044.0,1045
179,성복동,37.3200821,127.0684415,성동마을수지자이아파트,3074.436,8.189864963,24.0,12,12.0,10.5,680.0,1298
180,성복동,37.3145086,127.062299,버들치마을 경남아너스빌 1차,3844.298,8.987575407,23.0,8,15.0,9.0,816.0,1213
181,성복동,37.31536869,127.0604288,버들치마을 경남아너스빌2차,714.945,8.87013767,5.0,1,4.0,7.5,214.0,329
182,성복동,37.31726031,127.0654523,버들치마을 성복자이1차,4049.544,7.775660839,24.0,9,15.0,11.8,719.0,1275
183,성복동,37.31851753,127.0637984,버들치마을 성복 힐스테이트 2차,3278.53,6.544172337,27.0,0,27.0,10.5,689.0,1447
184,성복동,37.3212189,127.0635898,버들치마을 성복 힐스테이트 3차,4167.713,8.76626051,32.0,4,28.0,12.0,823.0,1674
185,성복동,37.32049896,127.0669787,성복센트럴자이,1771.804,9.39190106,18.0,9,9.0,13.0,500.0,967
186,성복동,37.31777487,127.0593711,버들치마을 성복자이2차,3401.017,8.748723999,33.0,12,21.0,14.9,783.0,1732
187,성복동,37.31440169,127.0698709,버들치마을 성복 힐스테이트 1차,2286.265,8.030696989,25.0,27,0.0,11.0,645.0,1304
188,성복동,37.32247946,127.0614868,용인성복아이파크,2259.38,10.11015592,8.0,10,0.0,8.1,351.0,491
189,성복동,37.31244087,127.0829792,성복역 롯데캐슬 골드타운,11987.855,8.31008141,55.0,50,5.0,12.5,2356.0,2817
190,성복동,37.31421065,127.0779891,성동마을 강남빌리지,2141.015,9.08603214,13.0,8,5.0,12.0,428.0,735
191,성복동,37.3124547,127.0724106,성복역 롯데캐슬 클라시엘,5033.706,9.348448847,29.0,0,29.0,11.65,1094.0,1530
192,성복동,37.32403465,127.0529613,수지성복 효성해링턴코트,2264.053,8.491635612,5.0,0,5.0,7.8,236.0,310
193,성복동,37.31123498,127.0745699,성복역 롯데캐슬 파크나인,865.319,7.925498235,13.0,19,0.0,12.0,534.0,702
194,영덕1동,37.27154773,127.0840904,신동아파밀리에아파트,1961.844,7.321294537,28.0,0,28.0,8.0,759.0,1485
195,영덕1동,37.27404295,127.0834481,흥덕마을14단지 호반베르디움,532.286,7.666554137,8.0,5,3.0,8.5,236.0,496
196,영덕1동,37.27542258,127.0920626,흥덕마을 13단지 경남아너스빌,1114.788,6.091025271,13.0,0,13.0,7.45,368.0,736
