,아파트,cluster,군집별총합
0,신원2차아파트,3,0.745736
1,인정멜로디아파트,3,0.745736
2,금전마을계룡리슈빌,2,1.095576
3,용인포곡삼성쉐르빌아파트,3,0.745736
4,배머루마을 인정베네치아빌리지,3,0.745736
5,계수마을수목원우림필유,3,0.745736
6,풍산햇빛마을,3,0.745736
7,샘골마을풍성신미주아파트1단지,3,0.745736
8,샘골마을풍성신미주아파트2단지,3,0.745736
9,한천마을 금광베네스타아파트,3,0.745736
10,에이스카운티아파트,3,0.745736
11,송전마을 세광엔리치타워,3,0.745736
12,양지마을 신원아침도시,3,0.745736
13,유메이드,2,1.095576
14,스위트홈아파트,3,0.745736
15,삼환아파트,2,1.095576
16,신우아파트,3,0.745736
17,김량장동 어울림아파트,3,0.745736
18,용인웰메이드시티337,2,1.095576
19,풍림아파트,3,0.745736
20,삼현마을진우아파트,3,0.745736
21,금령마을우남퍼스트빌,3,0.745736
22,용인 행정타운 두산위브 1단지,3,0.745736
23,용인 행정타운 두산위브 2단지,1,1.147635
24,용인 행정타운 두산위브 3단지,3,0.745736
25,인정프린스아파트3차,3,0.745736
26,성웅아파트,3,0.745736
27,금평마을영화아파트,3,0.745736
28,보평마을삼정그린뷰아파트,3,0.745736
29,예원마을코아루아파트,3,0.745736
30,양우내안애에듀퍼스트,1,1.147635
31,인정피렌체빌리지1차아파트,3,0.745736
32,이삭아파트,3,0.745736
33,예진마을인정피렌체빌리지II아파트,2,1.095576
34,임원마을아이닉스영화아파트,2,1.095576
35,인정피렌체빌리지3차아파트,3,0.745736
36,라이프아파트 101동,2,1.095576
37,마평우성아파트,3,0.745736
38,두보아파트,3,0.745736
39,마평주공1단지아파트,3,0.745736
40,용인GS자이아파트,2,1.095576
41,한성아파트,1,1.147635
42,기흥동부아파트,4,0.928836
43,한성2차아파트,2,1.095576
44,기흥구갈한양수자인아파트,1,1.147635
45,기흥우림아파트,3,0.745736
46,강남마을자연&아이원4단지아파트,1,1.147635
47,계룡리슈빌7단지아파트,1,1.147635
48,기흥역지웰푸르지오,1,1.147635
49,기흥역롯데캐슬레이시티,4,0.928836
50,세종그랑시아2차아파트,2,1.095576
51,삼정선비마을아파트,3,0.745736
52,보라삼성래미안아파트,2,1.095576
53,쌍용스윗닷홀아파트,0,1.54255
54,민속마을신창미션힐아파트,1,1.147635
55,보라마을 현대모닝사이드2차아파트,1,1.147635
56,민속마을 현대모닝사이드아파트,1,1.147635
57,한보라마을 휴먼시아4단지아파트,2,1.095576
58,한보라에듀포레아파트,3,0.745736
59,한보라 THE HILL 아파트,1,1.147635
60,한보라마을 파크드림아파트,4,0.928836
61,보라해링턴플레이스,1,1.147635
62,써니밸리아파트,1,1.147635
63,호수청구아파트,3,0.745736
64,용인기흥벽산블루밍아파트,3,0.745736
65,한보라마을휴먼시아7단지아파트,1,1.147635
66,한보라마을경남아너스빌,3,0.745736
67,공세성원상떼레이크뷰아파트,5,1.38777
68,탑실마을 대주피오레1단지아파트,1,1.147635
69,탑실마을 대주피오레2단지아파트,0,1.54255
70,기흥고매동성아파트,3,0.745736
71,세원아파트,3,0.745736
72,매화마을 우남퍼스트빌아파트,3,0.745736
73,매화마을 우림홀인원아파트,3,0.745736
74,기흥써니밸리아파트,2,1.095576
75,화성파크드림프라브타운하우스,2,1.095576
76,서그내마을에스케이아파트,1,1.147635
77,서그내마을 서천아이파크아파트,4,0.928836
78,힐스테이트 서천,1,1.147635
79,서천마을 쌍용예가4단지아파트,2,1.095576
80,영통로 효성해링턴플레이스,1,1.147635
81,용인서천 효성해링턴플레이스,2,1.095576
82,예현마을 현대홈타운아파트,4,0.928836
83,서천 센트럴파크원,1,1.147635
84,하마비마을 언남동부아파트,4,0.928836
85,하마비마을 동일하이빌1차아파트,1,1.147635
86,언동마을 신일아파트,2,1.095576
87,하마비마을 동부센트레빌아파트,4,0.928836
88,하마비마을 동일하이빌2차아파트,1,1.147635
89,초원마을 성원상떼빌2차아파트,1,1.147635
90,휴먼시아 물푸레마을 3단지 아파트,1,1.147635
91,물푸레마을4단지 경남아너스빌아파트,4,0.928836
92,물푸레마을 구성더포레스트6단지 아파트,2,1.095576
93,물푸레마을 휴먼시아7단지아파트,2,1.095576
94,물푸레마을 호반베르디움8단지아파트,4,0.928836
95,교동마을 신창아파트,3,0.745736
96,교동마을 정광아파트,3,0.745736
97,구성우림아파트,4,0.928836
98,블루밍구성더센트럴,0,1.54255
99,연원마을 엘지자이아파트,4,0.928836
100,교동마을 엘지자이아파트,2,1.095576
101,교동마을 쌍용아파트,4,0.928836
102,구성삼성래미안1차아파트,5,1.38777
103,교동마을 현대홈타운아파트,1,1.147635
104,교동마을 마북e편한세상1차아파트,4,0.928836
105,교동마을 구성자이3차아파트,4,0.928836
106,구성파라곤아파트,4,0.928836
107,구성역 효성해링턴플레이스,4,0.928836
108,용인 마북 신원아침도시 아파트,4,0.928836
109,청덕마을 광도와이드빌아파트,3,0.745736
110,해든마을 동문굿모닝힐아파트,2,1.095576
111,신동백 롯데캐슬에코1단지아파트,0,1.54255
112,하우스디동백카바나아파트,3,0.745736
113,신동백 서해그랑블1단지아파트,2,1.095576
114,신동백 서해그랑블2단지아파트,1,1.147635
115,신동백동도센트리움아파트,3,0.745736
116,어정마을 서희삼정그린뷰아파트,3,0.745736
117,진산마을삼성래미안6차아파트,5,1.38777
118,연원마을현대아이파크아파트,5,1.38777
119,행원마을동아솔레시티아파트,0,1.54255
120,솔뫼마을현대홈타운,5,1.38777
121,연원마을삼성명가타운아파트,2,1.095576
122,죽현마을 엘지자이,5,1.38777
123,죽현마을 아이파크,0,1.54255
124,죽현마을동원로얄듀크아파트,5,1.38777
125,신촌마을 포스홈타운1단지,5,1.38777
126,신촌마을 상록데시앙,4,0.928836
127,죽전자이2차,4,0.928836
128,신촌마을 포스홈타운2단지,5,1.38777
129,꿈에그린아파트,4,0.928836
130,죽전역샬레파인비스타,2,1.095576
131,연원마을성원상떼빌아파트,1,1.147635
132,대우아파트,3,0.745736
133,풍림아파트,3,0.745736
134,상하동 621,0,1.54255
135,강남마을한라비발디아파트,1,1.147635
136,강남마을주공8단지아파트,0,1.54255
137,수원동마을쌍용스윗닷홈아파트,3,0.745736
138,갈천마을신일유토빌아파트,1,1.147635
139,지석마을 그대가 크레던스,1,1.147635
140,삼익아파트,3,0.745736
141,신미주아파트,3,0.745736
142,신갈현대아파트,3,0.745736
143,도현마을현대아이파크아파트,1,1.147635
144,새릉골풍림아파트,2,1.095576
145,원대마을한신아파트,2,1.095576
146,기흥역롯데캐슬스카이,1,1.147635
147,이안 두드림기흥역,3,0.745736
148,녹원마을새천년그린빌1단지아파트,3,0.745736
149,녹원마을새천년그린빌2단지아파트,4,0.928836
150,산양마을대우푸르지오,4,0.928836
151,용인기흥우방아이유쉘,2,1.095576
152,신흥덕롯데캐슬레이시티,0,1.54255
153,양현마을풍림신안아파트,1,1.147635
154,기흥파크뷰,1,1.147635
155,청명호수마을 신안인스빌1단지,1,1.147635
156,두진아파트,3,0.745736
157,청현마을대명레이크빌,2,1.095576
158,청현마을태영데시앙아파트,3,0.745736
159,수지 푸르지오 월드마크,4,0.928836
160,래미안수지이스트파크,5,1.38777
161,수지파크푸르지오,4,0.928836
162,수지4차삼성아파트,1,1.147635
163,동문아파트,2,1.095576
164,1지구동부아파트,1,1.147635
165,토월마을보원아파트,1,1.147635
166,삼성래미안1차아파트,4,0.928836
167,건영아파트,4,0.928836
168,한성아파트,1,1.147635
169,현대아파트,0,1.54255
170,동보아파트,5,1.38777
171,풍덕천한샘더랜드마크,2,1.095576
172,동아.삼익.풍림아파트,0,1.54255
173,수지2차 삼성래미안,2,1.095576
174,신정마을극동임광아파트,5,1.38777
175,우성아파트,2,1.095576
176,진흥아파트,4,0.928836
177,신정마을상록아파트,1,1.147635
178,용인수지 신정마을1단지,1,1.147635
179,성동마을수지자이아파트,5,1.38777
180,버들치마을 경남아너스빌 1차,1,1.147635
181,버들치마을 경남아너스빌2차,4,0.928836
182,버들치마을 성복자이1차,5,1.38777
183,버들치마을 성복 힐스테이트 2차,5,1.38777
184,버들치마을 성복 힐스테이트 3차,5,1.38777
185,성복센트럴자이,5,1.38777
186,버들치마을 성복자이2차,5,1.38777
187,버들치마을 성복 힐스테이트 1차,5,1.38777
188,용인성복아이파크,4,0.928836
189,성복역 롯데캐슬 골드타운,0,1.54255
190,성동마을 강남빌리지,5,1.38777
191,성복역 롯데캐슬 클라시엘,5,1.38777
192,수지성복 효성해링턴코트,4,0.928836
193,성복역 롯데캐슬 파크나인,5,1.38777
194,신동아파밀리에아파트,1,1.147635
195,흥덕마을14단지 호반베르디움,2,1.095576
196,흥덕마을 13단지 경남아너스빌,2,1.095576
197,흥덕마을 11단지 경남아너스빌,4,0.928836
198,흥덕마을동원로얄듀크,1,1.147635
199,흥덕마을8단지 한국 아델리움,2,1.095576
200,흥덕우미린 레이크포레,1,1.147635
201,흥덕마을 힐스테이트,4,0.928836
202,광교레이크스위첸,2,1.095576
203,호반써밋 레이크파크,2,1.095576
204,우남퍼스트빌리젠트,5,1.38777
205,금화마을주공그린빌,1,1.147635
206,금화마을 대우현대아파트,2,1.095576
207,초당마을현진에버빌,2,1.095576
208,초당마을삼부르네상스아파트,2,1.095576
209,초당마을삼부르네상스아파트,2,1.095576
210,동백역 경남아너스빌 아파트,1,1.147635
211,어은목마을 벽산블루밍아파트,2,1.095576
212,참솔마을월드메르디앙,1,1.147635
213,성산마을서해그랑블,1,1.147635
214,백현마을상록롯데캐슬,2,1.095576
215,어은목마을한라비발디,4,0.928836
216,어은목마을대원칸타빌,2,1.095576
217,호수마을 자연앤 데시앙,3,0.745736
218,호수마을월드메르디앙,2,1.095576
219,호수마을휴먼시아,2,1.095576
220,백현마을서해그랑블,3,0.745736
221,백현마을경남아너스빌,2,1.095576
222,백현마을모아미래도,3,0.745736
223,백현마을한라비발디,3,0.745736
224,백현마을모아미래도,1,1.147635
225,호수마을계룡리슈빌,2,1.095576
226,호수마을동보노빌리티,2,1.095576
227,호수마을서해그랑블,2,1.095576
228,백현마을코아루아파트,2,1.095576
229,신성아파트,3,0.745736
230,용인명지대역동원로얄듀크,1,1.147635
231,우미린센트럴파크,0,1.54255
232,역북 신원아침도시,3,0.745736
233,역북지웰푸르지오,0,1.54255
234,한신아파트,2,1.095576
235,대지마을2차 현대홈타운,2,1.095576
236,대지마을 중앙하이츠빌,5,1.38777
237,대지마을 현대홈타운3차 2단지,4,0.928836
238,새터마을죽전힐스테이트,0,1.54255
239,내대지마을건영캐스빌,0,1.54255
240,새터마을 모아미래도,4,0.928836
241,성현마을광명샤인빌,3,0.745736
242,내대지마을주공아파트,4,0.928836
243,내대지마을진흥더블파크,4,0.928836
244,도담마을 휴먼빌 아파트,2,1.095576
245,용인죽전동부센트레빌,2,1.095576
246,죽전퍼스트하임,2,1.095576
247,현대아파트,1,1.147635
248,더 리버하임,2,1.095576
249,심곡마을 광교힐스테이트,5,1.38777
250,포레나 광교상현,1,1.147635
251,상현마을 현대성우2차아파트,4,0.928836
252,상현마을 금호베스트빌 1단지,5,1.38777
253,상현마을 금호베스트빌 2단지,4,0.928836
254,상현마을 금호베스트빌 3단지,2,1.095576
255,상현마을 동일스위트,4,0.928836
256,상현마을 금호베스트빌 4단지,4,0.928836
257,상현마을수지센트럴아이파크,1,1.147635
258,상현마을 성우5차아파트,2,1.095576
259,서원마을 현대홈타운아파트,4,0.928836
260,서원마을3단지 아이파크,2,1.095576
261,성복역금호베스트빌,1,1.147635
262,풍산아파트,2,1.095576
263,상현동 벽산블루밍아파트,1,1.147635
264,광교현대프레미오아파트,4,0.928836
265,신동백 두산위브더제니스,0,1.54255
266,성산마을신영지웰,1,1.147635
267,호수마을상록롯데캐슬,1,1.147635
268,백현마을동일하이빌,1,1.147635
269,행정타운늘푸른오스카빌,3,0.745736
270,역북마을금강아파트,3,0.745736
271,보성아파트,3,0.745736
272,고림지구 양우내안애 에듀파크,1,1.147635
273,신정마을성지아파트,4,0.928836
274,신정마을현대프라임아파트,5,1.38777
275,가현마을신안아파트,4,0.928836
276,갈현마을 현대홈타운,1,1.147635
277,드림랜드아파트,4,0.928836
278,힐스테이트 기흥,5,1.38777
279,인정프린스아파트2차,3,0.745736
280,효천마을신안인스빌,1,1.147635
281,동아아파트,3,0.745736
282,현대아파트,3,0.745736
283,동원마을 동원로얄듀크아파트,4,0.928836
284,죽전누리에뜰,4,0.928836
285,인정프린스아파트,3,0.745736
286,용인기흥효성해링턴플레이스,0,1.54255
287,청현마을신일아파트,1,1.147635
288,영통 빌리지,4,0.928836
289,삼성래미안2차아파트,0,1.54255
290,용화마을 태영데시앙아파트,4,0.928836
291,구미마을 삼라 마이다스빌,2,1.095576
292,지석마을 진흥더루벤스,5,1.38777
293,용인수지 신정마을9단지,1,1.147635
294,신정마을8단지현대성우아파트,0,1.54255
295,정자뜰마을 태영 데시앙1차 아파트,4,0.928836
296,정자뜰마을태영데시앙2차아파트,4,0.928836
297,수지진산마을푸르지오,5,1.38777
298,e편한세상 수지,0,1.54255
299,이스턴팰리스,4,0.928836
300,수지 에듀파크,4,0.928836
301,한국아파트,5,1.38777
302,신봉마을엘지자이1차아파트,0,1.54255
303,서홍마을 한일아파트,2,1.095576
304,서홍마을 벽산블루밍,4,0.928836
305,서홍마을한화꿈에그린아파트,4,0.928836
306,서홍마을효성화운트빌아파트,4,0.928836
307,서홍마을우남퍼스트빌아파트,1,1.147635
308,신봉마을자이2차아파트,0,1.54255
309,신봉마을 자이3차,4,0.928836
310,신봉마을 동부센트레빌 5단지,5,1.38777
311,신봉마을 용인신봉 센트레빌 1단지,4,0.928836
312,광교산자이,4,0.928836
313,신봉동 동도센트리움,2,1.095576
314,신봉마을 동일하이빌4단지,4,0.928836
315,신봉마을동일하이빌3단지,4,0.928836
316,신봉마을 동일하이빌 2단지,4,0.928836
317,광교산 한양수자인 더킨포크,2,1.095576
318,웰스톤시티,3,0.745736
319,도담마을 롯데캐슬,2,1.095576
320,도담마을 현대홈타운4차 1단지,4,0.928836
321,성현마을반도유보라,1,1.147635
322,도담마을 우미이노스빌,2,1.095576
323,도담마을 한양수자인,4,0.928836
324,꽃메마을 현대홈타운,4,0.928836
325,도담마을주공8단지아파트,1,1.147635
326,꽃메마을 한라프로방스,2,1.095576
327,꽃메마을아이파크,4,0.928836
328,꽃메마을극동스타클래스,4,0.928836
329,공동주택,1,1.147635
330,도담마을7단지뜨리에체아파트,4,0.928836
331,죽전역 솔하임,2,1.095576
332,도담마을죽전파크빌,1,1.147635
333,창죽마을 벽산첼시빌아파트,5,1.38777
334,동성1차아파트,1,1.147635
335,벽산타운1단지,1,1.147635
336,용인수지벽산타운2단지,1,1.147635
337,죽전 아이뷰,4,0.928836
338,블루밍벽산4단지아파트,4,0.928836
339,용인수지2차풍림아파트,4,0.928836
340,행림마을진로아파트,2,1.095576
341,동문굿모닝힐3차아파트,4,0.928836
342,동천마을현대홈타운아파트,5,1.38777
343,동천마을현대2차홈타운,0,1.54255
344,수진마을써니벨리아파트,1,1.147635
345,수진마을 우미 이노스빌,4,0.928836
346,수진마을신명스카이뷰,4,0.928836
347,원천마을 푸르지오아파트,4,0.928836
348,보뜨랑마을벽산블루밍아파트,2,1.095576
349,동문굿모닝힐6차아파트,5,1.38777
350,동문굿모닝힐5차아파트,0,1.54255
351,한빛마을 래미안 이스트팰리스 4단지,5,1.38777
352,동천파크자이,4,0.928836
353,한빛마을 래미안 이스트팰리스 1단지,5,1.38777
354,한빛마을 래미안 이스트팰리스 3단지,5,1.38777
355,한빛마을 래미안 이스트팰리스 2단지,5,1.38777
356,동문그린빌아파트,2,1.095576
357,광교마을46단지 광교스타클래스,5,1.38777
358,광교마을45단지,5,1.38777
359,광교경남아너스빌,5,1.38777
360,광교상록자이아파트,5,1.38777
361,광교상현마을현대아파트,2,1.095576
362,광교상떼빌파크뷰,1,1.147635
363,광교마을46단지 광교스타클래스,4,0.928836
364,광교쌍용포레듀엔A,4,0.928836
365,용인수지 동도 센트리움,3,0.745736
366,레이크포레 아파트,4,0.928836
367,더샵수지포레,5,1.38777
368,만현마을쌍용1차아파트,1,1.147635
369,상현마을현대성우아파트,2,1.095576
370,만현마을 쌍용아파트,2,1.095576
371,상현마을 현대성우3차아파트,4,0.928836
372,성복역 아이파크,4,0.928836
373,만현마을5단지아이파크아파트,4,0.928836
374,만현마을롯데캐슬아파트,1,1.147635
375,만현마을8단지두산위브아파트,4,0.928836
376,만현마을성원상떼빌아파트,1,1.147635
377,만현마을9단지엘지자이아파트,1,1.147635
378,성동마을 엘지빌리지3차,0,1.54255
379,성동마을 엘지빌리지1차,5,1.38777
380,성복역 KCC스위첸,4,0.928836
381,성남마을벽산첼시빌2차아파트,1,1.147635
382,성동마을 엘지빌리지 6차,5,1.38777
383,진산마을삼성래미안5차아파트,0,1.54255
384,진산마을삼성래미안7차아파트,5,1.38777
385,신봉마을 엘지빌리지5차,4,0.928836
386,꽃메마을한라신영프로방스,5,1.38777
387,현암마을동성2차아파트,1,1.147635
388,인현마을힐스테이트7차아파트,4,0.928836
389,현인마을 이-편한세상,4,0.928836
390,블루밍벽산3단지아파트,2,1.095576
391,수진마을2단지,5,1.38777
392,더샵 동천이스트포레,1,1.147635
393,광교쌍용포레듀엔B,4,0.928836
394,진산마을성원상떼빌아파트,0,1.54255
